,Response,Context,Subject,Item,Rater
617,5,n-n,p03,noom-w,R01
618,4,3-o,p03,3eeb-w,R01
619,3,isolation,p03,3eeb-v,R01
620,5,3-n,p03,3aam-w,R01
621,2,7-o,p03,7aad-w,R01
622,5,3-n,p03,3een-w,R01
623,2,3-o,p03,3iish-w,R01
624,1,7-o,p03,7eef-w,R01
625,3,isolation,p03,7eef-v,R01
626,4,o-n,p03,saam-w,R01
627,3,isolation,p03,saam-v,R01
628,2,o-3,p03,baa3-w,R01
629,2,o-o,p03,beet-w,R01
630,2,o-o,p03,boosh-w,R01
631,4,n-3,p06,noo3-w,R01
632,2,isolation,p06,noo3-v,R01
633,2,o-o,p06,daas-w,R01
634,4,n-o,p06,maat-w,R01
635,3,isolation,p06,maat-v,R01
636,5,7-n,p06,7en-w,R01
637,4,o-n,p06,diin-w,R01
638,1,o-7,p06,zaa7-w,R01
639,3,o-3,p06,djuu3-w,R01
640,3,isolation,p06,djuu3-v,R01
641,4,n-7,p06,nuu7-w,R01
642,3,isolation,p06,nuu7-v,R01
643,3,3--3,p06,3oo3-w,R01
644,3,isolation,p06,3oo3-v,R01
645,2,o-7,p06,loo7-w,R01
646,2,o-3,p06,bii3-w,R01
647,2,isolation,p06,bii3-v,R01
648,1,o-7,p06,zii7-w,R01
649,3,n-n,p06,noom-w,R01
650,4,n-n,p06,muun-w,R01
651,4,n-o,p06,muus-w,R01
652,3,n-o,p06,mooz-w,R01
653,4,7-o,p06,7ook-w,R01
654,4,7-n,p06,7oom-w,R01
655,3,3-o,p06,3aaf-w,R01
656,2,n-7,p06,naa7-w,R01
657,2,isolation,p06,naa7-v,R01
658,4,n-n,p06,naam-w,R01
659,1,isolation,p06,naam-v,R01
660,4,o-n,p06,doom-w,R01
661,2,isolation,p06,doom-v,R01
662,5,3-n,p06,3oon-w,R01
663,1,3-o,p06,3eeb-w,R01
664,2,isolation,p06,3eeb-v,R01
665,5,3-n,p06,3aam-w,R01
666,2,7-o,p06,7aad-w,R01
667,4,3-n,p06,3een-w,R01
668,2,3-o,p06,3iish-w,R01
669,1,7-o,p06,7eef-w,R01
670,2,isolation,p06,7eef-v,R01
671,4,o-n,p06,saam-w,R01
672,2,isolation,p06,saam-v,R01
673,1,o-3,p06,baa3-w,R01
674,1,o-o,p06,beet-w,R01
675,4,o-o,p06,boosh-w,R01
676,4,n-3,p07,noo3-w,R01
677,1,isolation,p07,noo3-v,R01
678,1,o-3,p07,djuu3-w,R01
679,2,isolation,p07,djuu3-v,R01
680,3,n-7,p07,nuu7-w,R01
681,2,isolation,p07,nuu7-v,R01
682,2,3--3,p07,3oo3-w,R01
683,1,isolation,p07,3oo3-v,R01
684,2,o-7,p07,loo7-w,R01
685,1,o-3,p07,bii3-w,R01
686,2,isolation,p07,bii3-v,R01
687,3,o-7,p07,zii7-w,R01
688,1,o-o,p07,daas-w,R01
689,4,n-o,p07,maat-w,R01
690,1,isolation,p07,maat-v,R01
691,4,7-n,p07,7en-w,R01
692,5,o-n,p07,diin-w,R01
693,1,o-7,p07,zaa7-w,R01
694,1,n-7,p07,naa7-w,R01
695,2,isolation,p07,naa7-v,R01
696,2,n-n,p07,naam-w,R01
697,2,isolation,p07,naam-v,R01
698,4,o-n,p07,doom-w,R01
699,1,isolation,p07,doom-v,R01
700,1,3-n,p07,3oon-w,R01
701,5,n-n,p07,noom-w,R01
702,5,n-n,p07,muun-w,R01
703,5,n-o,p07,muus-w,R01
704,5,n-o,p07,mooz-w,R01
705,5,7-o,p07,7ook-w,R01
706,5,7-n,p07,7oom-w,R01
707,1,3-o,p07,3aaf-w,R01
708,3,3-o,p07,3eeb-w,R01
709,1,isolation,p07,3eeb-v,R01
710,4,o-n,p07,saam-w,R01
711,1,isolation,p07,saam-v,R01
712,5,3-n,p07,3aam-w,R01
713,1,7-o,p07,7aad-w,R01
714,5,3-n,p07,3een-w,R01
715,2,3-o,p07,3iish-w,R01
716,2,7-o,p07,7eef-w,R01
717,2,isolation,p07,7eef-v,R01
718,1,o-3,p07,baa3-w,R01
719,3,o-o,p07,beet-w,R01
720,4,o-o,p07,boosh-w,R01
721,5,n-3,p08,noo3-w,R01
722,2,isolation,p08,noo3-v,R01
723,4,o-o,p08,daas-w,R01
724,5,n-o,p08,maat-w,R01
725,2,isolation,p08,maat-v,R01
726,4,7-n,p08,7en-w,R01
727,5,o-n,p08,diin-w,R01
728,4,o-3,p08,djuu3-w,R01
729,1,isolation,p08,djuu3-v,R01
730,5,n-7,p08,nuu7-w,R01
731,3,isolation,p08,nuu7-v,R01
732,3,3--3,p08,3oo3-w,R01
733,3,isolation,p08,3oo3-v,R01
734,2,o-7,p08,loo7-w,R01
735,1,o-3,p08,bii3-w,R01
736,4,isolation,p08,bii3-v,R01
737,3,o-7,p08,zii7-w,R01
738,2,o-7,p08,zaa7-w,R01
739,4,o-n,p08,doom-w,R01
740,1,isolation,p08,doom-v,R01
741,5,3-n,p08,3oon-w,R01
742,5,n-n,p08,noom-w,R01
743,5,n-n,p08,muun-w,R01
744,5,n-o,p08,muus-w,R01
745,5,n-o,p08,mooz-w,R01
746,3,7-o,p08,7ook-w,R01
747,5,7-n,p08,7oom-w,R01
748,2,3-o,p08,3aaf-w,R01
749,5,n-7,p08,naa7-w,R01
750,3,isolation,p08,naa7-v,R01
751,5,n-n,p08,naam-w,R01
752,3,isolation,p08,naam-v,R01
753,2,3-o,p08,3eeb-w,R01
754,2,isolation,p08,3eeb-v,R01
755,5,o-n,p08,saam-w,R01
756,3,isolation,p08,saam-v,R01
757,5,3-n,p08,3aam-w,R01
758,5,7-o,p08,7aad-w,R01
759,4,3-n,p08,3een-w,R01
760,3,3-o,p08,3iish-w,R01
761,2,7-o,p08,7eef-w,R01
762,2,isolation,p08,7eef-v,R01
763,3,o-3,p08,baa3-w,R01
764,1,o-o,p08,beet-w,R01
765,2,o-o,p08,boosh-w,R01
766,3,n-3,p09,noo3-w,R01
767,1,isolation,p09,noo3-v,R01
768,4,o-o,p09,daas-w,R01
769,5,n-o,p09,maat-w,R01
770,4,isolation,p09,maat-v,R01
771,4,7-n,p09,7en-w,R01
772,5,o-n,p09,diin-w,R01
773,3,o-7,p09,zaa7-w,R01
774,3,o-3,p09,djuu3-w,R01
775,2,isolation,p09,djuu3-v,R01
776,4,n-7,p09,nuu7-w,R01
777,4,isolation,p09,nuu7-v,R01
778,2,3--3,p09,3oo3-w,R01
779,2,isolation,p09,3oo3-v,R01
780,2,o-7,p09,loo7-w,R01
781,2,o-3,p09,bii3-w,R01
782,2,isolation,p09,bii3-v,R01
783,2,o-7,p09,zii7-w,R01
784,4,n-n,p09,noom-w,R01
785,4,n-n,p09,muun-w,R01
786,4,n-o,p09,muus-w,R01
787,4,n-o,p09,mooz-w,R01
788,2,7-o,p09,7ook-w,R01
789,4,7-n,p09,7oom-w,R01
790,2,3-o,p09,3aaf-w,R01
791,4,n-7,p09,naa7-w,R01
792,2,isolation,p09,naa7-v,R01
793,4,n-n,p09,naam-w,R01
794,1,isolation,p09,naam-v,R01
795,5,o-n,p09,doom-w,R01
796,1,isolation,p09,doom-v,R01
797,5,3-n,p09,3oon-w,R01
798,1,3-o,p09,3eeb-w,R01
799,1,isolation,p09,3eeb-v,R01
800,5,o-n,p09,saam-w,R01
801,3,isolation,p09,saam-v,R01
802,4,3-n,p09,3aam-w,R01
803,2,7-o,p09,7aad-w,R01
804,4,3-n,p09,3een-w,R01
805,2,3-o,p09,3iish-w,R01
806,4,7-o,p09,7eef-w,R01
807,2,isolation,p09,7eef-v,R01
808,1,o-3,p09,baa3-w,R01
809,2,o-o,p09,beet-w,R01
810,2,o-o,p09,boosh-w,R01
